Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
susp_appointments2,iedea_2020_site_survey_english,,radio,"18.3b.	Suspension or postponement of non-urgent appointments for HIV patients","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
dercrease_hrs2,iedea_2020_site_survey_english,,radio,"18.3c.	Decreases in the number of hours or days of service delivery for HIV patients","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
reassign_providers2,iedea_2020_site_survey_english,,radio,"18.3d.	Re-assignment of HIV care providers to assist with the COVID-19 response","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
reduced_providers2,iedea_2020_site_survey_english,,radio,"18.3e.	Reduced availability of HIV care providers due to COVID-19-related illness, self-isolation, or quarantine","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
reconfig_clinic2,iedea_2020_site_survey_english,,radio,"18.3f.	Reconfiguration of hospital/clinic space to accommodate COVID-19-related services","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
increase_ppe2,iedea_2020_site_survey_english,,radio,"18.3g.	Increased use of personal protective equipment (masks, gloves, gowns, etc.) by HIV clinic staff?","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
increase_telemed2,iedea_2020_site_survey_english,,radio,"18.3h.	Increased use of telemedicine (i.e., consultations by phone/web) in HIV-related care","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
interrup_records2,iedea_2020_site_survey_english,,radio,"18.3i.	Interruptions or changes in recording of data (either paper or electronic records) related to clinical management of patients","2, Currently | 1, Previously | 0, Never",,,,,,,y,,,covid192,,
susp_hiv_diag2,iedea_2020_site_survey_english,"At the time since the start of the pandemic, has the COVID-19 response resulted in any of the following changes in the <u>operations of the HIV clinic</u>, and are any of these changes currently in effect?  

<div style=""font-size:12.5px""><i>Please indicate whether the following changes are <u>currently, previously, or were never</u> in effect at this HIV clinic.
Select NA (not applicable) for operations (e.g. HIV testing, research, etc.) that were not in place prior to the COVID-19 pandemic.</i></div>",radio,18.3j. Suspension or decreases in the availability of HIV testing/diagnostic services,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_b2,,
susp_research2,iedea_2020_site_survey_english,,radio,"18.3k. Suspension or postponement of ongoing research activities (e.g., enrollment or follow-up of patients in ongoing research studies)","2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_b2,,
interr_data_recording2,iedea_2020_site_survey_english,,radio,18.3l. Interruptions or changes in recording of data (either paper or electronic records) for ongoing research,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_b2,,
new_research2,iedea_2020_site_survey_english,,radio,18.3m. Interruptions or delays in initiation of or planning for new research activities unrelated to COVID-19,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_b2,,
susp_ngo_partner2,iedea_2020_site_survey_english,,radio,18.3n. Withdrawal/suspension of activities of non-governmental partners that support care provision in the clinic,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_b2,,
susp_hivtesting2,iedea_2020_site_survey_english,"18.4  At any time since the start of the pandemic, has the COVID-19 response resulted in partial or complete suspension of any of the following <u>community-based HIV services</u> (i.e., services provided in community settings outside the hospital/clinic) for patients referred to or enrolled in care at this HIV clinic?  

<div style=""font-size:12.5px""><i>Please indicate whether the following community-based services are <u>currently, previously, or were never</u> suspended.
Select NA (not applicable) for community activities that were not in place prior to the COVID-19 pandemic.</i></div>",radio,"18.4a.	Community-based HIV testing","2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_c2,,
susp_artrefills2,iedea_2020_site_survey_english,,radio,"18.4b.	Community-based ART refills","2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_c2,,
susp_groupmeet2,iedea_2020_site_survey_english,,radio,"18.4c.	Community-based support group meetings/activities","2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_c2,,
susp_tracing2,iedea_2020_site_survey_english,,radio,"18.4d.	Community-based tracing of patients who are lost to follow-up (LTFU)","2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_c2,,
susp_ngo_parnters2,iedea_2020_site_survey_english,,radio,"18.4e.	Withdrawal/suspension of activities of non-governmental partners that support community-based  programs for patients enrolled in HIV care at this clinic","2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_c2,,
art_shutdown,iedea_2020_site_survey_english,"18.5  At any time since the start of the pandemic, have <u>routine ART services</u> at this HIV clinic been impacted by COVID-19?	

<div style=""font-size:12.5px""><i>Please indicate whether the following changes are <u>currently, previously, or were <u>never</u> experienced at this HIV clinic.
Select NA (not applicable) for services that were not in place prior to the COVID-19 pandemic.</i></div>",radio,18.5a. ART clinics have been suspended or shut down,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18b,,
art_pickup,iedea_2020_site_survey_english,,radio,18.5b. ART pick-up points have been designated in the community,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18b,,
art_extra,iedea_2020_site_survey_english,,radio,18.5c. Patients are being given extra supplies/refills of ART to reduce the frequency of refills,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18b,,
oth_art_sevices,iedea_2020_site_survey_english,,radio,18.5d. Other <br><i>(please specify or select Not Applicable)</i>,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18b,,
other_art_affected_3,iedea_2020_site_survey_english,,text,"18.5d1 If Other ART services at this clinic have been affected, please specify",,,,,,,[oth_art_sevices] = '1' or [oth_art_sevices] = '2',,,,,,
art_init_suspended,iedea_2020_site_survey_english,"18.6 At any time since the start of the pandemic, have <u>ART initiation services</u> at this clinic been impacted by COVID-19?

<div style=""font-size:12.5px""><i>Please indicate whether the following impacts are <u>currently, previously, or were never</u> experienced at this HIV clinic.
Select NA (not applicable) for services that were not available prior to the COVID-19 pandemic.</i></div>",radio,18.6a ART initiation services have been suspended,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid19_18_6,,
same_day_art_exp,iedea_2020_site_survey_english,,radio,18.6b Same-day or rapid ART initiation services introduced or expanded,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid19_18_6,,
art_counseling_red,iedea_2020_site_survey_english,,radio,18.6c Adherence counseling requirements prior to ART initiation reduced or streamlines,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid19_18_6,,
oth_art_init,iedea_2020_site_survey_english,,radio,18.6d Other <br><i>(please specify or select Not Applicable)</i>,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid19_18_6,,
other_art_init,iedea_2020_site_survey_english,,text,"18.6d1 If Other ART initiation services at this clinic have been impacted, please specify",,,,,,,[oth_art_init] = '1' or [oth_art_init] = '2',,,,,,
vl_suspended,iedea_2020_site_survey_english,"18.7 At any time since the start of the pandemic, have <u>HIV viral load testing services</u> at this HIV clinic been impacted by COVID-19?

<div style=""font-size:12.5px""><i>Please indicate whether the following impacts are <u>currently, previously, or were never</u> experienced at this HIV clinic. 
Select NA (not applicable) for services that were not available prior to the COVID-19 pandemic.</i></div>",radio,18.7a Sample collection for HIV viral load testing has been suspended,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18c,,
vl_notaccepted,iedea_2020_site_survey_english,,radio,18.7b. Laboratory not accepting HIV viral load samples,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18c,,
vl_tat_longer,iedea_2020_site_survey_english,,radio,18.7c. Turnaround time for HIV viral load testing is longer,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18c,,
oth_vl_testing,iedea_2020_site_survey_english,,radio,18.7d. Other <br><i>(please specify or select Not Applicable)</i>,"2, Currently | 1, Previously | 0, Never | 77, Not applicable",,,,,,,y,,,covid_19_18c,,
other_vl_test,iedea_2020_site_survey_english,,text,"18.7d1 If Other viral load testing services at this clinic have been impacted, please specify",,,,,,,[oth_vl_testing] = '1' or [oth_vl_testing] = '2',,,,,,
stockouts_hivtest2,iedea_2020_site_survey_english,"18.8 At any time since the start of the pandemic, has the HIV clinic experienced stockouts of any of the following for care of HIV patients?

<i>Please indicate whether the following stockouts are <u>currently, previously, or were never</u> experienced. 
Select NA (not applicable) for commodities and supplies that were not routinely available/provided at this clinic prior to the COVID-19 pandemic.</i>
",radio,18.8a. HIV test kits,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_d2,,
stockouts_prep2,iedea_2020_site_survey_english,,radio,18.8b. PrEP medications,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_d2,,
stockouts_1stline2,iedea_2020_site_survey_english,,radio,18.8c. First-line antiretroviral regimens,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_d2,,
stockouts_2ndline2,iedea_2020_site_survey_english,,radio,18.8d. Second-line antiretroviral regimens,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_d2,,
stockouts_3rdline2,iedea_2020_site_survey_english,,radio,18.8e. Third-line antiretroviral regimens,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_d2,,
vl_testing2,iedea_2020_site_survey_english,,radio,18.8f. Supplies for viral load testing,"2, Currently | 1, Previously | 0, Never | 77, NA",,,,,,,y,,,covid19_d2,,
time_end,iedea_2020_site_survey_english,,text," <div style=""border: 1px solid #19B5FE;background: #A2C0D9  ; font-size:13px; color: #000000; text-align:left;padding:10px;"">Please press the ""Now"" button to help us know how long it took to complete this survey.</div>
",,,datetime_ymd,,,,[track_ltfu] = '1' OR [track_ltfu] = '0' OR [track_ltfu_edms]='0',,,,,,
banner_completed,iedea_2020_site_survey_english,,descriptive,"<div style=""color:green; font-size:larger;text-align:center"">You have reached the end of the survey.</div>",,,,,,,,,,,,,
acknowledge,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">19. ACKNOWLEDGEMENTS
 (OPTIONAL)</div>",notes,"<div style=""border: 1px solid #19B5FE; background: #A2C0D9  ; font-size:13px; color: #000000; text-align:left;padding:10px;"">We would like to acknowledge clinic team members who participated in the completion of this survey. If your team members would like their names included, please enter their full names, separated by commas, so we can acknowledge their contribution.</div>",,,,,,,,,,,,,
banner_completed_2,iedea_2020_site_survey_english,,descriptive,"<div style=""float:right;font-weight:normal;font-size:10px"">18-MAR-20</div>
<div style=""color:green; font-size:larger;text-align:center"">Thank you for your participation.</div>
",,,,,,,,,,,,,
status_general,survey_status,,dropdown,Status of 2020 Site Assessment Survey for this Site,"1, Complete/Validated | 2, Queries | 3, e-Survey submitted | 4, Pending data entry (paper) | 5, Unknown | 6, Site not participating",,,,,,,,,,,,
status_notparticipating,survey_status,,notes,Why is the site not participating in the IeDEA 2020 Site Assessment?,,,,,,,[status_general] = '6',,,,,,
status_date,survey_status,,text,Date of Status Update,,,date_ymd,,,,,,,,,,
status_qual,survey_status,Optional Qualifiers,checkbox,Original data collection was...,"1, On paper form | 2, In English survey version | 3, In French survey version",,,,,,,,,,,,
coordinator_notes,survey_status,Notes,notes,Survey Coordinator Notes,,,,,,,,,,,,,
